order_id,customer_id,product_id,category,price,discount,quantity,payment_method,order_date,delivered_date,region,returned,request_date,return_reason,total_amount,shipping_cost,profit_margin,customer_age,customer_gender,delivery_days,return_request_days,order_month,order_year,order_quarter,profit_category,return_probability
O108985,C10324,P205243,Electronics,237.39,0,1,Credit Card,25-07-2025,28-07-2025,North,No,,,237.39,7.41,21.08,31,Male,3,,July,2025,3,Profit,0.19
O108993,C13389,P241850,Beauty,17.1,0.15,1,Credit Card,03-01-2024,07-01-2024,North,No,,,14.54,4.42,2.12,30,Female,4,,January,2024,1,Profit,0.205
O109022,C17759,P202144,Fashion,62.07,0.05,1,Credit Card,14-08-2025,18-08-2025,North,No,,,58.97,5.49,15.15,33,Female,4,,August,2025,3,Profit,0.205
O109058,C16221,P247678,Fashion,141.88,0,1,Credit Card,25-10-2023,31-10-2023,North,No,,,141.88,8.5,41.16,63,Female,6,,October,2023,4,Profit,0.21
O109072,C17903,P226453,Grocery,13,0,1,Debit Card,16-04-2024,21-04-2024,East,No,,,13,4.49,-3.45,46,Male,5,,April,2024,2,Loss,0.195
O109080,C10190,P227981,Fashion,21.34,0,1,Debit Card,14-01-2024,17-01-2024,North,No,,,21.34,4.79,2.68,49,Male,3,,January,2024,1,Profit,0.195
O109124,C10446,P212914,Fashion,9.15,0,4,Debit Card,01-06-2024,05-06-2024,North,No,,,36.6,6.59,6.22,25,Female,4,,June,2024,2,Profit,0.35
O109152,C16702,P246304,Fashion,28.63,0.15,1,Debit Card,18-11-2023,22-11-2023,West,No,,,24.34,5.8,2.72,68,Female,4,,November,2023,4,Profit,0.19
O109168,C14174,P241193,Toys,6.25,0.05,1,Debit Card,11-01-2024,15-01-2024,Central,No,,,5.94,4.28,-1.9,68,Male,4,,January,2024,1,Loss,0.205
O109173,C17265,P246474,Sports,409.4,0.05,1,Credit Card,18-11-2024,23-11-2024,North,No,,,388.93,10.35,106.33,38,Female,5,,November,2024,4,Profit,0.19
O109195,C14435,P235781,Sports,143.49,0.1,1,Credit Card,01-09-2024,06-09-2024,North,No,,,129.14,7.38,31.36,26,Female,5,,September,2024,3,Profit,0.19
O109204,C12681,P230677,Electronics,51.52,0.1,1,PayPal,30-11-2023,03-12-2023,North,No,,,46.37,5.51,0.05,23,Male,3,,November,2023,4,Profit,0.2
O109208,C17440,P207053,Fashion,36.84,0,1,Credit Card,19-12-2023,25-12-2023,North,No,,,36.84,6.04,6.85,35,Female,6,,December,2023,4,Profit,0.205
O109221,C16468,P249636,Fashion,5.87,0.05,1,Credit Card,14-10-2023,19-10-2023,North,No,,,5.58,2.26,-0.31,20,Female,5,,October,2023,4,Loss,0.235
O109270,C13653,P209476,Fashion,59.04,0,1,Debit Card,14-01-2024,18-01-2024,South,No,,,59.04,6.13,14.53,36,Female,4,,January,2024,1,Profit,0.255
O109280,C16156,P204453,Fashion,22.99,0,1,UPI,23-05-2025,26-05-2025,North,No,,,22.99,5.94,2.11,20,Other,3,,May,2025,2,Profit,0.23
O109300,C10825,P225258,Electronics,336.77,0,1,Credit Card,27-04-2024,30-04-2024,North,No,,,336.77,10.16,30.25,46,Male,3,,April,2024,2,Profit,0.19
O109303,C12118,P222315,Fashion,14.08,0,1,Debit Card,22-10-2024,26-10-2024,South,No,,,14.08,4.74,0.19,52,Female,4,,October,2024,4,Profit,0.265
O109322,C11869,P225154,Fashion,28.38,0,5,Debit Card,01-04-2024,05-04-2024,Central,No,,,141.9,8.05,41.61,26,Female,4,,April,2024,2,Profit,0.265
O109323,C12568,P207240,Fashion,19.92,0.05,3,Debit Card,31-08-2024,05-09-2024,Central,Yes,12-09-2024,No longer needed,56.77,6,13.87,67,Female,5,7,August,2024,3,Profit,0.205
O109354,C16429,P204747,Fashion,80.04,0.05,1,Debit Card,28-12-2023,31-12-2023,North,No,,,76.04,6.49,20.12,68,Female,3,,December,2023,4,Profit,0.22
O109390,C14915,P223350,Grocery,4.04,0,1,Debit Card,15-09-2024,22-09-2024,East,No,,,4.04,3.29,-2.97,29,Male,7,,September,2024,3,Loss,0.205
O109392,C13548,P240562,Home,10.86,0.05,2,Credit Card,11-08-2025,15-08-2025,West,Yes,11-09-2025,No longer needed,20.63,5.66,0.12,62,Male,4,27,August,2025,3,Profit,0.2
O109395,C16464,P245602,Home,10.06,0,1,Credit Card,16-03-2024,20-03-2024,West,No,,,10.06,1.59,1.23,44,Male,4,,March,2024,1,Profit,0.19
O109400,C16068,P243038,Fashion,24.98,0.05,1,Debit Card,06-08-2024,11-08-2024,East,Yes,30-08-2024,No longer needed,23.73,5.65,2.66,33,Female,5,19,August,2024,3,Profit,0.2
O109456,C15398,P217338,Fashion,7.79,0.05,1,Debit Card,04-04-2025,09-04-2025,South,No,,,7.4,2.55,0.04,39,Female,5,,April,2025,2,Profit,0.26
O109465,C17264,P249340,Fashion,16.9,0,1,Credit Card,14-01-2024,22-01-2024,South,No,,,16.9,3.84,2.07,59,Other,8,,January,2024,1,Profit,0.235
O109543,C14593,P226544,Fashion,154.46,0,1,Debit Card,14-11-2023,21-11-2023,East,No,,,154.46,7.24,46.82,24,Female,7,,November,2023,4,Profit,0.19
O109560,C16858,P201247,Toys,18.26,0,1,Credit Card,17-02-2024,20-02-2024,North,No,,,18.26,5.19,2.11,34,Female,3,,February,2024,1,Profit,0.21
O109566,C13188,P200310,Fashion,19.03,0.1,1,Credit Card,20-08-2025,26-08-2025,South,No,,,17.13,4.43,1.57,21,Female,6,,August,2025,3,Profit,0.265
O109569,C14524,P222043,Electronics,203.5,0,1,Credit Card,24-03-2024,29-03-2024,North,No,,,203.5,7.95,16.47,25,Male,5,,March,2024,1,Profit,0.19
O109573,C17287,P224401,Beauty,14.57,0,1,Credit Card,24-10-2023,29-10-2023,North,No,,,14.57,4.87,1.69,46,Female,5,,October,2023,4,Profit,0.205
O109577,C12276,P242964,Fashion,6.18,0.05,1,Debit Card,24-12-2023,01-01-2024,East,No,,,5.87,1.3,0.75,62,Female,8,,December,2023,4,Profit,0.245
O109579,C13201,P243305,Fashion,13.44,0.15,1,Debit Card,21-04-2024,25-04-2024,North,No,,,11.42,3.42,0.58,66,Female,4,,April,2024,2,Profit,0.235
O109580,C15471,P205910,Fashion,15.4,0,1,Credit Card,02-02-2024,06-02-2024,North,No,,,15.4,4.2,1.19,27,Female,4,,February,2024,1,Profit,0.29
O109596,C11364,P218851,Beauty,15.39,0.05,1,Credit Card,10-03-2025,14-03-2025,North,No,,,14.62,4.52,2.06,59,Other,4,,March,2025,1,Profit,0.205
O109619,C15523,P237997,Electronics,115.91,0,2,Credit Card,22-03-2025,26-03-2025,North,No,,,231.82,8.42,19.4,42,Female,4,,March,2025,1,Profit,0.205
O109629,C17131,P245412,Electronics,701.6,0,1,Credit Card,14-10-2024,17-10-2024,North,No,,,701.6,8.89,75.3,69,Female,3,,October,2024,4,Profit,0.285
O109644,C11716,P231532,Electronics,222.46,0.15,1,Credit Card,15-01-2024,20-01-2024,North,Yes,23-01-2024,Not as described,189.09,6.96,15.73,23,Male,5,3,January,2024,1,Profit,0.19
O109650,C14368,P210030,Fashion,17.73,0.15,1,Wallet,16-01-2025,21-01-2025,South,No,,,15.07,4.09,1.18,42,Female,5,,January,2025,1,Profit,0.225
O109673,C16965,P205911,Fashion,12.16,0,1,Debit Card,19-01-2025,24-01-2025,North,No,,,12.16,4,0.26,67,Female,5,,January,2025,1,Profit,0.21
O109675,C11152,P242587,Fashion,36.55,0.15,1,Debit Card,16-12-2023,19-12-2023,Central,No,,,31.07,6.57,4.3,52,Female,3,,December,2023,4,Profit,0.245
O109691,C13142,P247880,Fashion,17.44,0.1,1,Credit Card,23-04-2025,29-04-2025,East,No,,,15.7,3.69,1.8,50,Female,6,,April,2025,2,Profit,0.205
O109713,C14715,P222948,Beauty,46.35,0.1,1,Credit Card,29-11-2023,02-12-2023,North,No,,,41.72,5.38,13.39,23,Female,3,,November,2023,4,Profit,0.19
O109725,C12795,P220490,Fashion,32.23,0.15,1,Debit Card,10-05-2025,13-05-2025,North,No,,,27.4,5.32,4.27,47,Male,3,,May,2025,2,Profit,0.195
O109752,C17489,P234281,Fashion,22.38,0,1,Debit Card,09-11-2024,14-11-2024,South,No,,,22.38,4.91,2.92,30,Female,5,,November,2024,4,Profit,0.28
O109775,C15190,P218239,Fashion,48.82,0.15,4,Wallet,23-02-2025,28-02-2025,North,No,,,165.99,7.76,50.34,26,Female,5,,February,2025,1,Profit,0.255
O109847,C12897,P240937,Fashion,16.1,0,1,Debit Card,07-02-2025,13-02-2025,East,Yes,08-03-2025,Not as described,16.1,2.1,3.53,23,Female,6,23,February,2025,1,Profit,0.19
O109876,C15127,P244657,Fashion,16.18,0,1,Credit Card,20-06-2024,23-06-2024,North,No,,,16.18,1.45,4.21,27,Other,3,,June,2024,2,Profit,0.205
O109880,C14555,P234936,Grocery,11.94,0.05,1,Debit Card,22-05-2024,26-05-2024,South,No,,,11.34,2.97,-2.06,63,Male,4,,May,2024,2,Loss,0.19
O109881,C12300,P212413,Fashion,8.18,0.05,1,Debit Card,19-01-2025,23-01-2025,South,No,,,7.77,3.57,-0.85,50,Female,4,,January,2025,1,Loss,0.19
O109887,C10853,P211308,Grocery,2.92,0,1,Debit Card,16-08-2024,19-08-2024,Central,No,,,2.92,2.24,-2.01,56,Male,3,,August,2024,3,Loss,0.195
O109923,C13924,P223593,Electronics,721.91,0.05,1,Credit Card,26-06-2025,01-07-2025,North,No,,,685.81,9.71,72.59,25,Other,5,,June,2025,2,Profit,0.28
O109957,C15918,P228695,Fashion,38.64,0,1,Debit Card,12-12-2023,17-12-2023,Central,No,,,38.64,4.64,8.88,54,Female,5,,December,2023,4,Profit,0.23
O109963,C16401,P243631,Fashion,42.35,0,4,Credit Card,23-05-2024,26-05-2024,North,No,,,169.4,9.23,50.06,37,Male,3,,May,2024,2,Profit,0.225
O109964,C14625,P247993,Grocery,2.46,0,1,Debit Card,27-09-2023,01-10-2023,Central,No,,,2.46,2.16,-1.96,45,Male,4,,September,2023,3,Loss,0.195
O110005,C11302,P201149,Sports,137.74,0,1,Credit Card,19-06-2025,24-06-2025,North,No,,,137.74,7.08,34.24,35,Female,5,,June,2025,2,Profit,0.195
O110014,C15112,P214263,Toys,13.58,0,1,Credit Card,10-06-2025,14-06-2025,North,Yes,22-06-2025,Not as described,13.58,4.44,0.99,65,Other,4,8,June,2025,2,Profit,0.215
O110031,C11273,P240491,Fashion,29.05,0.1,1,Credit Card,28-03-2025,31-03-2025,North,No,,,26.14,5.96,3.19,29,Female,3,,March,2025,1,Profit,0.23
O110045,C15092,P202656,Electronics,54.43,0.1,1,Debit Card,20-09-2023,24-09-2023,Central,No,,,48.99,6.74,-0.86,51,Male,4,,September,2023,3,Loss,0.19
O110052,C17318,P245077,Home,45.21,0,3,Credit Card,16-04-2025,21-04-2025,South,No,,,135.63,6.87,31.11,48,Female,5,,April,2025,2,Profit,0.225
O110055,C15307,P220693,Fashion,15.87,0,1,Credit Card,29-06-2024,04-07-2024,Central,No,,,15.87,4.82,0.73,40,Other,5,,June,2024,2,Profit,0.215
O110059,C13044,P219103,Fashion,14.88,0.1,1,Debit Card,25-08-2024,28-08-2024,Central,No,,,13.39,1.72,2.97,31,Female,3,,August,2024,3,Profit,0.315
O110072,C10759,P221545,Electronics,84,0.1,1,PayPal,21-06-2025,27-06-2025,East,No,,,75.6,7.47,1.6,31,Male,6,,June,2025,2,Profit,0.23
O110078,C13426,P243935,Sports,204.54,0,1,Credit Card,30-03-2025,02-04-2025,North,No,,,204.54,8.32,53.04,32,Female,3,,March,2025,1,Profit,0.195
O110083,C11876,P215185,Beauty,70.78,0.15,1,Credit Card,07-07-2025,11-07-2025,North,No,,,60.16,6.29,20.78,52,Female,4,,July,2025,3,Profit,0.19
O110131,C10098,P219464,Electronics,154.47,0.2,1,Credit Card,10-02-2024,14-02-2024,North,No,,,123.58,5.96,8.87,42,Female,4,,February,2024,1,Profit,0.28
O110156,C13657,P242324,Electronics,250.13,0,1,Credit Card,05-10-2023,11-10-2023,North,No,,,250.13,7.86,22.16,41,Other,6,,October,2023,4,Profit,0.285
O110175,C17448,P247890,Fashion,11.48,0.2,1,UPI,13-04-2024,16-04-2024,North,No,,,9.18,1.59,1.62,29,Other,3,,April,2024,2,Profit,0.225
O110215,C10250,P207825,Fashion,17.35,0,1,Credit Card,04-08-2024,10-08-2024,North,No,,,17.35,4.14,1.93,45,Female,6,,August,2024,3,Profit,0.265
O110220,C17925,P241862,Electronics,1129.15,0,1,Credit Card,10-11-2024,13-11-2024,North,No,,,1129.15,11.26,124.24,54,Female,3,,November,2024,4,Profit,0.285
O110224,C16437,P200122,Grocery,24.87,0.1,1,Debit Card,03-08-2024,11-08-2024,East,No,,,22.38,4.57,-2.78,35,Male,8,,August,2024,3,Loss,0.2
O110238,C10246,P219208,Fashion,6.49,0.05,2,Credit Card,27-04-2025,02-05-2025,West,No,,,12.33,3.17,1.15,30,Female,5,,April,2025,2,Profit,0.2
O110241,C13310,P227478,Fashion,107.59,0,1,Debit Card,08-10-2023,13-10-2023,South,Yes,20-10-2023,Defective,107.59,7.25,30.41,58,Female,5,7,October,2023,4,Profit,0.255
O110256,C13438,P244046,Fashion,12.84,0.15,1,COD,21-01-2025,25-01-2025,North,Yes,21-02-2025,Not as described,10.91,3.73,0.09,67,Female,4,27,January,2025,1,Profit,0.205
O110280,C11847,P234599,Fashion,113.03,0,1,Credit Card,24-12-2024,27-12-2024,North,No,,,113.03,6.11,33.45,66,Female,3,,December,2024,4,Profit,0.21
O110299,C12084,P211954,Fashion,91.83,0.05,1,Debit Card,24-09-2023,28-09-2023,North,No,,,87.24,6.96,23.57,25,Female,4,,September,2023,3,Profit,0.22
O110316,C16571,P201401,Fashion,99.13,0.05,1,Debit Card,08-01-2024,12-01-2024,South,No,,,94.17,5.3,27.66,58,Female,4,,January,2024,1,Profit,0.245
O110358,C13367,P243077,Fashion,245.76,0,1,Credit Card,19-07-2025,22-07-2025,North,No,,,245.76,8.1,77.92,19,Female,3,,July,2025,3,Profit,0.21
O110374,C13875,P223440,Fashion,17.63,0.05,1,PayPal,13-04-2024,18-04-2024,South,No,,,16.75,4.41,1.45,57,Female,5,,April,2024,2,Profit,0.235
O110394,C12533,P216296,Electronics,756.89,0,2,Credit Card,23-04-2024,28-04-2024,North,No,,,1513.78,10.64,171.01,21,Female,5,,April,2024,2,Profit,0.205
O110413,C17394,P212673,Fashion,116.51,0,4,Credit Card,21-04-2025,24-04-2025,North,No,,,466.04,9.34,153.77,57,Male,3,,April,2025,2,Profit,0.225
O110431,C16102,P225509,Toys,54.32,0,1,Credit Card,04-06-2024,08-06-2024,North,Yes,21-06-2024,Missing/Wrong item,54.32,5.84,15.89,38,Female,4,13,June,2024,2,Profit,0.195
O110434,C10372,P232518,Fashion,17.11,0,2,Debit Card,18-10-2023,23-10-2023,South,No,,,34.22,6.04,5.94,40,Female,5,,October,2023,4,Profit,0.21
O110440,C12556,P229289,Electronics,286.6,0,1,Credit Card,06-11-2024,10-11-2024,North,No,,,286.6,9.09,25.3,29,Male,4,,November,2024,4,Profit,0.19
O110452,C11040,P241080,Fashion,16.71,0.3,1,Debit Card,06-07-2025,09-07-2025,Central,No,,,11.7,4.64,-0.54,39,Male,3,,July,2025,3,Loss,0.19
O110504,C13336,P206162,Fashion,20.45,0,2,Debit Card,03-02-2025,07-02-2025,South,No,,,40.9,4.85,9.46,25,Female,4,,February,2025,1,Profit,0.22
O110509,C12044,P245044,Fashion,22.04,0,1,Debit Card,25-01-2025,28-01-2025,North,No,,,22.04,3,4.71,21,Female,3,,January,2025,1,Profit,0.215
O110514,C15484,P219676,Fashion,52.54,0.05,1,Debit Card,30-06-2025,07-07-2025,East,No,,,49.91,7.53,9.94,18,Female,7,,June,2025,2,Profit,0.19
O110517,C13392,P201564,Fashion,13.08,0,1,Credit Card,01-04-2025,04-04-2025,North,No,,,13.08,3.41,1.17,31,Female,3,,April,2025,2,Profit,0.29
O110518,C12772,P249102,Electronics,369.45,0,1,Credit Card,06-08-2025,10-08-2025,North,No,,,369.45,7.32,37.01,55,Female,4,,August,2025,3,Profit,0.285
O110618,C10118,P225903,Electronics,50.84,0,1,PayPal,09-03-2025,12-03-2025,North,Yes,20-03-2025,Missing/Wrong item,50.84,5.66,0.44,47,Male,3,8,March,2025,1,Profit,0.205
O110663,C12770,P221773,Fashion,17.62,0.15,1,Debit Card,29-05-2024,01-06-2024,Central,No,,,14.98,2.82,2.42,29,Female,3,,May,2024,2,Profit,0.29
O110665,C12583,P217702,Fashion,24.6,0,1,Debit Card,01-08-2025,06-08-2025,North,No,,,24.6,5.43,3.18,30,Female,5,,August,2025,3,Profit,0.25
O110698,C12817,P232359,Toys,9.74,0.05,1,Credit Card,23-10-2024,27-10-2024,North,No,,,9.25,3.35,0.35,65,Female,4,,October,2024,4,Profit,0.205
O110715,C14537,P223391,Fashion,24.76,0,1,Credit Card,13-10-2023,17-10-2023,North,No,,,24.76,5.96,2.71,18,Male,4,,October,2023,4,Profit,0.205
O110733,C16183,P243251,Grocery,6.27,0.05,1,Debit Card,04-10-2024,10-10-2024,Central,No,,,5.96,2.97,-2.49,62,Male,6,,October,2024,4,Loss,0.205
O110777,C15210,P239032,Sports,23.51,0.05,1,Credit Card,26-04-2025,01-05-2025,North,Yes,10-05-2025,Defective,22.33,6.36,0.34,33,Female,5,9,April,2025,2,Profit,0.21
O110783,C16357,P206619,Grocery,4.05,0.1,1,Debit Card,24-04-2025,29-04-2025,East,No,,,3.64,2.6,-2.31,29,Male,5,,April,2025,2,Loss,0.205
O110810,C15710,P249333,Fashion,11.35,0.15,1,Debit Card,10-09-2024,16-09-2024,South,No,,,9.65,1.79,1.59,63,Female,6,,September,2024,3,Profit,0.38
O110843,C10922,P226634,Fashion,108.59,0,1,Credit Card,07-07-2024,10-07-2024,North,No,,,108.59,6.06,31.95,23,Female,3,,July,2024,3,Profit,0.21
O110849,C13258,P235304,Fashion,15.33,0.1,1,Credit Card,13-09-2023,17-09-2023,Central,No,,,13.8,3.99,0.84,69,Female,4,,September,2023,3,Profit,0.22
O110852,C14566,P214793,Fashion,10.96,0.15,5,Debit Card,03-12-2023,08-12-2023,Central,No,,,46.58,6.61,9.69,19,Female,5,,December,2023,4,Profit,0.27
O110923,C10229,P224866,Sports,73.15,0.2,1,Credit Card,18-09-2024,21-09-2024,North,Yes,16-10-2024,No longer needed,58.52,6.88,10.68,49,Female,3,25,September,2024,3,Profit,0.19
O110950,C11607,P222132,Fashion,41.91,0.15,1,Debit Card,27-09-2023,02-10-2023,East,No,,,35.62,5.81,6.66,48,Female,5,,September,2023,3,Profit,0.19
O110978,C16026,P234818,Electronics,641.48,0.1,1,Credit Card,11-11-2023,16-11-2023,North,No,,,577.33,8.04,61.24,67,Other,5,,November,2023,4,Profit,0.28
O111008,C14597,P222857,Toys,4.19,0,1,Debit Card,02-09-2025,08-09-2025,East,No,,,4.19,3.47,-1.79,49,Male,6,,September,2025,3,Loss,0.205
O111025,C14773,P213113,Toys,9.7,0.05,1,Credit Card,25-08-2024,28-08-2024,North,No,,,9.21,3.42,0.26,49,Female,3,,August,2024,3,Profit,0.21
O111030,C17672,P217102,Home,35.41,0.1,3,Credit Card,23-08-2025,29-08-2025,South,Yes,14-09-2025,Not as described,95.61,7,19.77,46,Female,6,16,August,2025,3,Profit,0.21
O111059,C16004,P245454,Fashion,39.13,0,1,Credit Card,10-12-2023,13-12-2023,North,No,,,39.13,4.1,9.6,66,Female,3,,December,2023,4,Profit,0.21
O111067,C11717,P202847,Fashion,8.38,0,4,Credit Card,01-07-2024,04-07-2024,North,No,,,33.52,5.97,5.76,41,Male,3,,July,2024,3,Profit,0.225
O111074,C10564,P226076,Fashion,43.89,0,1,Debit Card,04-01-2024,09-01-2024,Central,No,,,43.89,7.3,8.06,36,Female,5,,January,2024,1,Profit,0.23
O111086,C14631,P220655,Fashion,12.85,0,1,Debit Card,02-10-2024,09-10-2024,East,No,,,12.85,3.71,0.79,51,Female,7,,October,2024,4,Profit,0.265
O111098,C14200,P221083,Fashion,20.78,0.15,1,Credit Card,23-03-2025,29-03-2025,West,No,,,17.66,4.69,1.49,60,Other,6,,March,2025,1,Profit,0.205
O111128,C14065,P235877,Grocery,15.07,0,4,Debit Card,23-09-2023,26-09-2023,North,No,,,60.28,6.81,-1.99,41,Male,3,,September,2023,3,Loss,0.22
O111135,C15956,P204428,Fashion,43.67,0,1,Debit Card,16-12-2023,21-12-2023,South,No,,,43.67,6.08,9.2,39,Female,5,,December,2023,4,Profit,0.25
O111157,C10175,P206680,Grocery,18.95,0.05,4,Debit Card,21-12-2023,26-12-2023,North,No,,,72.01,6.28,-0.52,23,Female,5,,December,2023,4,Loss,0.19
O111190,C13605,P239612,Fashion,5.21,0,1,Debit Card,04-03-2025,07-03-2025,Central,No,,,5.21,0.86,0.96,53,Male,3,,March,2025,1,Profit,0.205
O111198,C15795,P227330,Fashion,17.67,0.1,1,Credit Card,04-04-2025,07-04-2025,North,No,,,15.9,2.82,2.74,23,Female,3,,April,2025,2,Profit,0.23
O111210,C11044,P245181,Grocery,33.73,0,1,Debit Card,05-08-2025,12-08-2025,East,No,,,33.73,5.45,-2.75,34,Male,7,,August,2025,3,Loss,0.195
O111248,C15242,P226333,Fashion,13.58,0.05,1,Credit Card,23-03-2025,29-03-2025,West,No,,,12.9,3.5,1.01,49,Female,6,,March,2025,1,Profit,0.21
O111252,C15507,P242344,Toys,38.29,0,1,Credit Card,26-10-2023,31-10-2023,North,No,,,38.29,5.1,10.22,39,Female,5,,October,2023,4,Profit,0.195
O111257,C17926,P247561,Electronics,332.85,0,1,Credit Card,05-11-2023,10-11-2023,North,No,,,332.85,9.13,30.81,49,Male,5,,November,2023,4,Profit,0.19
O111258,C15131,P247689,Grocery,9.37,0.2,4,Debit Card,04-01-2025,09-01-2025,South,No,,,29.98,5.32,-2.92,52,Male,5,,January,2025,1,Loss,0.19
O111269,C14908,P213372,Toys,4.02,0.3,3,Debit Card,06-09-2024,10-09-2024,North,No,,,8.44,3.94,-0.56,59,Other,4,,September,2024,3,Loss,0.19
O111271,C13720,P229814,Fashion,12.98,0.1,1,Debit Card,10-02-2024,14-02-2024,North,No,,,11.68,3.56,0.53,66,Male,4,,February,2024,1,Profit,0.19
O111299,C10074,P242456,Fashion,16.75,0.05,1,Debit Card,02-04-2024,06-04-2024,South,No,,,15.91,3.99,1.58,64,Female,4,,April,2024,2,Profit,0.36
O111352,C14481,P247757,Fashion,36.51,0,1,Debit Card,06-12-2023,13-12-2023,South,No,,,36.51,4.18,8.6,59,Female,7,,December,2023,4,Profit,0.25
O111365,C11416,P212061,Fashion,66.18,0.15,1,Debit Card,21-02-2024,24-02-2024,Central,No,,,56.25,6.36,13.33,65,Other,3,,February,2024,1,Profit,0.235
O111379,C10057,P239807,Fashion,16.38,0.05,1,Credit Card,21-04-2025,28-04-2025,West,No,,,15.56,4.42,1.03,48,Female,7,,April,2025,2,Profit,0.195
O111383,C10767,P245179,Fashion,10.61,0.2,1,Credit Card,20-08-2024,25-08-2024,North,No,,,8.49,3.05,-0.08,47,Male,5,,August,2024,3,Loss,0.235
O111489,C15738,P205724,Electronics,900.8,0,1,Credit Card,09-06-2024,14-06-2024,North,No,,,900.8,8.57,99.53,61,Male,5,,June,2024,2,Profit,0.19
O111503,C11711,P247037,Grocery,8.68,0.15,1,Debit Card,01-11-2024,07-11-2024,Central,No,,,7.38,5.41,-4.82,24,Male,6,,November,2024,4,Loss,0.205
O111509,C12605,P219347,Fashion,131.03,0,3,Debit Card,31-10-2024,03-11-2024,North,No,,,393.09,10.25,127.33,67,Other,3,,October,2024,4,Profit,0.25
O111547,C11524,P222363,Toys,4.21,0.1,1,Debit Card,02-08-2024,07-08-2024,East,No,,,3.79,2.62,-1.1,50,Male,5,,August,2024,3,Loss,0.2
O111549,C10250,P219646,Fashion,63.05,0.2,1,Debit Card,06-05-2025,12-05-2025,East,No,,,50.44,6.02,11.63,56,Female,6,,May,2025,2,Profit,0.19
O111579,C14930,P212046,Electronics,279.42,0.2,1,Credit Card,08-07-2024,11-07-2024,North,No,,,223.54,8.31,18.51,31,Female,3,,July,2024,3,Profit,0.28
O111590,C16865,P213036,Fashion,18.23,0.15,1,PayPal,18-12-2023,23-12-2023,South,Yes,11-01-2024,Not as described,15.5,3.98,1.44,34,Female,5,19,December,2023,4,Profit,0.23
O111627,C14929,P216418,Fashion,7.59,0,4,Debit Card,27-03-2025,30-03-2025,North,No,,,30.36,3.98,6.65,39,Female,3,,March,2025,1,Profit,0.355
O111631,C17399,P244599,Beauty,105.11,0,1,Credit Card,21-01-2025,24-01-2025,North,Yes,17-02-2025,Defective,105.11,7.34,39.96,51,Female,3,24,January,2025,1,Profit,0.195
O111676,C12773,P225187,Grocery,9.03,0.15,3,Debit Card,18-02-2025,24-02-2025,East,No,,,23.03,5.29,-3.45,62,Male,6,,February,2025,1,Loss,0.195
O111694,C15796,P224805,Fashion,14.51,0.1,1,Debit Card,17-04-2025,22-04-2025,North,No,,,13.06,4.19,0.38,36,Female,5,,April,2025,2,Profit,0.225
O111711,C11412,P247560,Fashion,75.34,0.1,5,Credit Card,29-11-2023,03-12-2023,North,No,,,339.03,9.58,109.08,26,Female,4,,November,2023,4,Profit,0.25
O111720,C10659,P225642,Grocery,7.34,0.05,4,Debit Card,19-12-2023,22-12-2023,North,No,,,27.89,5.4,-3.17,65,Male,3,,December,2023,4,Loss,0.215
O111734,C10012,P228845,Electronics,914.95,0.05,1,Credit Card,29-01-2024,01-02-2024,North,No,,,869.2,10.11,94.19,36,Male,3,,January,2024,1,Profit,0.19
O111751,C12434,P210545,Electronics,164.03,0.1,1,Credit Card,11-11-2024,14-11-2024,North,No,,,147.63,6.71,11.01,62,Female,3,,November,2024,4,Profit,0.28
O111755,C14164,P236002,Fashion,63.25,0,4,PayPal,19-07-2024,25-07-2024,North,No,,,253,8.27,80.28,34,Female,6,,July,2024,3,Profit,0.26
O111757,C13175,P220339,Electronics,279.31,0,1,Credit Card,21-08-2024,26-08-2024,North,No,,,279.31,9.15,24.37,27,Female,5,,August,2024,3,Profit,0.285
O111771,C15720,P239388,Home,23.75,0,1,Credit Card,13-11-2023,18-11-2023,East,No,,,23.75,5.15,1.5,36,Female,5,,November,2023,4,Profit,0.205
O111780,C10648,P207647,Fashion,16.31,0,5,Debit Card,25-06-2025,28-06-2025,North,No,,,81.55,8.97,19.57,45,Other,3,,June,2025,2,Profit,0.37
O111805,C14611,P230837,Fashion,19.32,0,1,COD,27-05-2025,01-06-2025,North,No,,,19.32,5.86,0.9,58,Female,5,,May,2025,2,Profit,0.22
O111810,C10527,P239760,Toys,42.79,0,1,Credit Card,19-12-2024,23-12-2024,North,No,,,42.79,6.03,11.09,49,Female,4,,December,2024,4,Profit,0.195
O111836,C16732,P245276,Electronics,690.97,0,1,Credit Card,18-04-2024,23-04-2024,North,No,,,690.97,8.57,74.35,32,Male,5,,April,2024,2,Profit,0.19
O111841,C16944,P235078,Fashion,163.05,0,1,Credit Card,11-05-2024,14-05-2024,North,Yes,28-05-2024,Not as described,163.05,8.94,48.13,39,Female,3,14,May,2024,2,Profit,0.21
O111887,C12275,P202619,Fashion,64.99,0,3,Debit Card,20-07-2024,23-07-2024,North,No,,,194.97,7.61,60.63,69,Female,3,,July,2024,3,Profit,0.25
O111913,C12273,P234712,Fashion,38.91,0,5,Credit Card,05-02-2025,08-02-2025,North,No,,,194.55,7.69,60.4,69,Male,3,,February,2025,1,Profit,0.225
O111914,C12990,P219955,Fashion,19.33,0,1,Debit Card,11-08-2025,17-08-2025,East,No,,,19.33,5.15,1.62,35,Female,6,,August,2025,3,Profit,0.275
